,code,decileMarch24,d_or_o
0,E01019344,0,0
1,E01027764,0,1
2,E01033530,0,2
3,E01027373,0,0
4,E01029336,0,0
5,E01013246,0,0
6,E01020889,0,0
7,E01019345,0,0
8,E01027375,0,2
9,E01019325,0,2
10,E01027777,0,1
11,E01012991,0,1
12,E01027505,0,2
13,E01019203,0,1
14,E01014024,0,2
15,E01022209,0,2
16,E01026111,0,2
17,E01020324,0,1
18,E01029335,0,0
19,E01026485,0,1
20,E01029327,0,2
21,E01029005,0,2
22,E01026290,0,1
23,E01020049,0,0
24,E01019380,0,0
25,E01027382,0,2
26,E01026241,0,2
27,E01020864,0,2
28,E01028999,0,2
29,E01027681,0,1
30,E01013086,0,0
31,E01013076,0,2
32,E01020308,0,0
33,E01013125,0,0
34,E01027512,0,0
35,E01020309,0,1
36,E01027511,0,0
37,E01016071,0,2
38,E01026538,0,1
39,E01027694,0,2
40,E01029139,0,2
41,E01020286,0,1
42,E01019338,0,2
43,E01025331,0,2
44,E01025320,0,2
45,E01026645,0,1
46,E01030251,0,2
47,E01013127,0,1
48,E01018784,0,0
49,E01020097,0,0
50,E01016906,0,1
51,E01020070,0,1
52,E01026606,0,2
53,E01034675,0,2
54,E01026765,0,2
55,E01020339,0,1
56,E01025315,0,2
57,E01017541,0,2
58,E01016305,0,2
59,E01026415,0,2
60,E01018760,0,2
61,E01026117,0,1
62,E01029761,0,2
63,E01018832,0,0
64,E01023997,0,2
65,E01035637,0,1
66,E01018514,0,0
67,E01019107,0,1
68,E01029268,0,2
69,E01012992,0,0
70,E01028993,0,2
71,E01029654,0,2
72,E01012933,0,1
73,E01029338,0,0
74,E01012990,0,0
75,E01035198,0,1
76,E01020539,0,2
77,E01021207,0,1
78,E01028881,0,0
79,E01028863,0,2
80,E01012134,0,1
81,E01021988,0,1
82,E01014054,0,2
83,E01029516,0,1
84,E01016306,0,0
85,E01026786,0,0
86,E01022392,0,2
87,E01029025,0,2
89,E01016070,0,1
90,E01031209,0,1
91,E01020171,0,0
92,E01020108,0,0
93,E01020050,0,0
94,E01028829,0,1
95,E01028882,0,1
96,E01019187,0,1
97,E01020795,0,0
98,E01029696,0,2
99,E01020188,0,2
100,E01035057,0,2
101,E01027803,0,2
102,E01026616,0,2
103,E01026361,0,1
104,E01018926,0,2
105,E01013081,0,0
106,E01029138,0,2
107,E01027374,0,1
108,E01024036,0,2
109,E01028846,0,1
110,E01019180,0,2
111,E01028034,0,2
112,E01028880,0,1
113,E01019314,0,2
114,E01027773,0,1
115,E01033160,0,1
116,E01015618,0,2
117,E01018097,0,1
118,E01020292,0,2
119,E01029662,0,0
120,E01027642,0,0
121,E01021166,0,0
122,E01012779,0,0
123,E01025887,0,1
124,E01020465,0,1
125,E01029406,0,1
126,E01011998,0,1
127,E01026943,0,2
128,E01026784,0,0
129,E01028868,0,1
130,E01026783,0,1
131,E01007488,0,1
132,E01020153,0,0
133,E01020109,0,1
134,E01027446,0,0
135,E01015406,0,1
136,E01032375,0,0
137,E01030295,0,2
138,E01020558,0,1
139,E01019488,0,1
141,E01013122,0,1
142,E01008814,0,0
143,E01035624,0,2
144,E01017369,0,1
145,E01020905,0,2
146,E01024206,0,1
147,E01027390,0,2
148,E01035151,0,1
149,E01025892,0,1
150,E01026579,0,1
151,E01020087,0,1
152,E01026614,0,1
153,E01018766,0,0
154,E01035107,0,2
155,E01030199,0,0
156,E01018092,0,0
157,E01027821,0,1
158,E01018876,0,2
159,E01029337,0,0
160,E01025508,0,0
161,E01013245,0,2
162,E01019322,0,2
163,E01026896,0,2
164,E01022442,0,0
165,E01020535,0,2
166,E01027477,0,0
167,E01035150,0,2
168,E01019386,0,2
169,E01031166,0,0
170,E01007625,0,0
171,E01019489,0,1
172,E01019293,0,2
173,E01027802,0,0
174,E01020862,0,0
175,E01026539,0,2
176,E01006439,0,0
177,E01032213,0,0
178,E01027451,0,0
179,E01018850,0,0
180,E01010420,0,0
181,E01013030,0,2
182,E01034786,0,0
183,E01028257,0,0
184,E01019394,0,1
185,E01010417,0,2
186,E01030252,0,0
187,E01008186,0,0
188,E01027779,0,1
189,E01001366,0,2
190,E01019185,0,1
191,E01018761,0,2
192,E01035152,0,1
193,E01022046,0,1
194,E01016072,0,1
195,E01026875,0,2
196,E01028501,0,1
197,E01007027,0,1
198,E01019502,0,1
199,E01027543,0,1
200,E01021770,0,1
201,E01026511,0,1
202,E01020646,0,1
203,E01020557,0,2
204,E01014726,0,1
205,E01022201,0,0
206,E01020753,0,2
207,E01027503,0,0
208,E01017296,0,1
209,E01015974,0,2
210,E01026637,0,0
211,E01008800,0,0
212,E01001339,0,0
213,E01019259,0,0
214,E01017452,0,2
215,E01026622,0,0
216,E01029278,0,1
217,E01019229,0,0
218,E01008811,0,1
219,E01020705,0,2
220,E01006668,0,2
221,E01026638,0,1
222,E01018962,0,0
223,E01011991,0,0
224,E01027439,0,2
225,E01029797,0,0
226,E01020077,0,0
227,E01026615,0,0
228,E01026098,0,0
229,E01016568,0,2
230,E01026580,0,1
232,E01006438,0,2
234,E01029273,0,2
235,E01012937,0,2
236,E01010413,0,2
237,E01034080,0,1
238,E01028923,0,1
239,E01026105,0,0
240,E01027542,0,0
241,E01010556,0,2
243,E01014052,0,1
244,E01013287,0,1
245,E01001445,0,2
246,E01020193,0,1
247,E01020319,0,1
248,E01027834,0,2
249,E01013027,0,0
250,E01008801,0,1
251,E01018974,0,2
252,E01029907,0,0
253,E01014727,0,0
254,E01035128,0,2
255,E01022263,0,2
256,E01020633,0,0
257,E01027762,0,2
258,E01026440,0,2
259,E01028350,0,0
260,E01029941,0,0
261,E01035609,0,2
262,E01026775,0,0
263,E01027751,0,1
264,E01035127,0,2
265,E01029342,0,2
266,E01020559,0,0
267,E01003580,0,0
268,E01011810,0,0
269,E01030090,0,1
270,E01010450,0,2
271,E01020906,0,2
272,E01029165,0,0
273,E01014025,0,2
274,E01019799,0,1
275,E01016911,0,0
276,E01020729,0,2
277,E01014597,0,0
278,E01014596,0,1
279,E01013883,0,2
280,E01019219,0,2
281,E01015617,0,1
282,E01031282,0,2
283,E01019483,0,0
284,E01020261,0,0
285,E01010400,0,1
286,E01028005,0,2
287,E01009763,0,2
288,E01027833,0,1
289,E01035071,0,0
290,E01019182,0,0
291,E01015145,0,1
292,E01012986,0,1
293,E01019320,0,2
294,E01018828,0,2
295,E01011960,0,2
296,E01027693,0,0
297,E01020275,0,2
298,E01020751,0,0
299,E01035290,0,1
300,E01020706,0,0
302,E01031248,0,0
303,E01020791,0,0
304,E01007377,0,0
305,E01021054,0,2
306,E01035219,0,1
307,E01010299,0,2
308,E01030253,0,2
309,E01019184,0,2
310,E01034206,0,2
311,E01010411,0,0
312,E01035635,0,1
313,E01010559,0,1
314,E01011997,0,2
315,E01010396,0,1
316,E01020296,0,0
317,E01029019,0,0
318,E01027796,0,1
319,E01010291,0,1
321,E01020131,0,1
322,E01012137,0,0
323,E01012132,0,2
324,E01001334,0,1
325,E01010288,0,0
326,E01017595,0,1
327,E01015271,0,0
328,E01001448,0,2
330,E01029697,0,0
332,E01006666,0,1
333,E01010445,0,0
334,E01010289,0,1
335,E01029666,0,0
336,E01029153,0,0
337,E01029422,0,1
338,E01010290,0,2
339,E01010286,0,2
340,E01018870,0,1
341,E01029574,0,1
342,E01010397,0,1
343,E01034774,0,1
344,E01016569,0,0
345,E01020258,0,1
346,E01022098,0,2
347,E01027541,0,1
348,E01033739,0,2
349,E01012847,0,1
350,E01019186,0,1
351,E01019490,0,2
353,E01011995,0,2
