areacd,d_or_o
E00141828,0
E00109389,1
E00100027,2
E00139355,0
E00153618,2
E00145246,2
E00141818,2
E00145710,1
E00139354,2
E00141986,0
E00139356,1
E00139357,1
E00070849,2
E00141984,2
E00153347,2
E00187954,1
E00071103,2
E00141998,2
E00141985,2
E00141835,0
E00071106,0
E00145703,2
E00141837,1
E00140786,0
E00141836,2
E00140787,1
E00141010,0
E00114855,0
E00152436,2
E00141251,2
E00163439,1
E00153349,2
E00145713,1
E00145712,2
E00145711,1
E00148136,1
E00148135,1
E00187547,0
E00107707,2
E00133294,1
E00119075,2
E00183333,1
E00141832,2
E00107704,2
E00161283,2
E00183327,2
E00133292,1
E00152628,0
E00152588,2
E00107709,2
E00100029,1
E00152583,0
E00167738,2
E00133288,2
E00141833,2
E00133291,1
E00100026,2
E00133271,2
E00133289,2
E00100702,2
E00089261,2
E00146510,0
E00146507,0
E00159160,2
E00140947,2
E00148152,1
E00140800,1
E00146509,1
E00146508,0
E00141813,1
E00153345,1
E00114858,2
E00153353,0
E00148154,0
E00153351,1
E00153350,2
E00122704,0
E00161519,1
E00150367,1
E00091984,0
E00126028,1
E00143421,0
E00001682,1
E00122463,0
E00072791,2
E00072789,0
E00094440,1
E00121426,1
E00163446,0
E00154832,0
E00116674,2
E00122376,1
E00150444,1
E00140911,1
E00185499,1
E00008236,0
E00011784,0
E00148133,1
E00131734,1
E00074569,2
E00078274,2
E00127139,2
E00123882,2
E00086111,0
E00127220,1
E00089665,2
E00086109,2
E00110600,0
E00089265,1
E00122472,2
E00072792,1
E00161792,2
E00120137,2
E00124515,1
E00000799,2
E00115349,2
E00124599,0
E00158038,1
E00160800,1
E00118738,0
E00161515,2
E00125715,0
E00009717,0
E00121422,0
E00144816,2
E00189910,2
E00190553,1
E00174077,0
E00187480,1
E00007877,0
E00113071,0
E00074542,0
E00144536,2
E00092215,0
E00127222,0
E00029916,0
E00087840,0
E00078265,2
E00154923,0
E00182234,2
E00090816,0
E00001214,2
E00161334,0
E00161521,1
E00163513,1
E00169633,0
E00072799,1
E00013543,0
E00122354,2
E00154761,1
E00121798,2
E00186029,2
E00112338,1
E00122515,2
E00121628,1
E00165905,1
E00154836,0
E00014836,1
E00018224,0
E00124483,0
E00022953,0
E00019372,2
E00078266,1
E00119015,1
E00013975,0
E00168059,0
E00150317,2
E00187699,0
E00144557,1
E00157951,2
E00122479,0
E00022758,0
E00001286,1
E00109901,2
E00187939,2
E00001918,0
E00121621,2
E00065873,2
E00069585,1
E00047825,2
E00011582,0
E00127197,2
E00146020,1
E00149093,1
E00122545,2
E00010173,2
E00007938,1
E00186823,2
E00008003,0
E00158043,1
E00089255,0
E00154876,0
E00161514,0
E00074507,2
E00150368,2
E00017583,1
E00161798,2
E00125768,2
E00011433,2
E00182226,1
E00122198,2
E00089669,0
E00154889,1
E00022748,0
E00158042,2
E00110494,0
E00183771,1
E00016585,1
E00187557,2
E00003811,1
E00003826,1
E00118605,0
E00146035,1
E00156709,1
E00183052,0
E00108971,2
E00016640,2
E00187692,2
E00146028,2
E00086121,1
E00127190,2
E00127132,0
E00013633,1
E00167267,1
E00016196,0
E00104230,2
E00121796,2
E00171074,2
E00112667,2
E00142111,1
E00078271,0
E00154874,1
E00089150,1
E00000818,1
E00182041,0
E00118785,0
E00007976,1
E00109886,2
E00008812,1
E00122547,0
E00163507,2
E00126029,1
E00122543,2
E00122375,1
E00084283,2
E00001210,1
E00089920,0
E00181986,2
E00122075,0
E00017592,2
E00111838,0
E00185476,2
E00117932,2
E00003244,1
E00125962,0
E00171382,2
E00140944,0
E00022732,0
E00070706,0
E00069583,1
E00189015,2
E00154925,0
E00182304,0
E00001366,2
E00001487,0
E00090137,1
E00013979,2
E00141822,1
E00156522,0
E00182400,0
E00187661,1
E00124104,2
E00016617,0
E00170503,1
E00114003,2
E00011428,1
E00154844,2
E00146511,1
E00109895,1
E00092261,1
E00004036,1
E00127037,0
E00154725,0
E00109892,1
E00061540,2
E00122701,1
E00067507,1
E00135735,2
E00146037,2
E00154618,0
E00076039,1
E00078273,0
E00086122,1
E00144548,0
E00072834,1
E00149161,1
E00007987,2
E00148711,2
E00171088,1
E00111861,2
E00008543,1
E00033222,0
E00009716,0
E00011892,1
E00089228,0
E00161508,0
E00120130,0
E00072781,0
E00009999,0
E00145757,0
E00008016,0
E00009859,2
E00118791,1
E00100110,0
E00124618,0
E00168377,2
E00122356,0
