,code,decileMarch20,decileMarch24,scoreMarch20,scoreMarch24,score_change,score_change_code
147,E01027390,0,0,6.1089496,0,-100,0
179,E01018850,0,0,6.6918212,0,-100,0
293,E01019320,0,0,7.9881674,0,-100,0
15765,E01018849,4,0,24.8032025,0,-100,0
30001,E01012295,8,0,38.3357047,0.000564636,-99.99852713,0
73,E01029338,0,0,4.1731497,0.010644206,-99.74493592,0
3292,E01020397,0,0,15.2948704,0.124613117,-99.18526203,0
1880,E01027742,0,0,13.2438204,0.151840226,-98.85350132,0
37,E01016071,0,0,2.4679819,0.029079884,-98.82171406,0
103,E01026361,0,0,5.1236657,0.135520912,-97.35500089,0
33366,E01029328,9,0,52.6473068,1.522769335,-97.1076026,0
41,E01020286,0,0,2.6551112,0.082516494,-96.89216431,0
21047,E01028851,6,0,28.5063172,1.163873352,-95.91713885,0
26790,E01019356,7,0,33.7657322,1.635078513,-95.15758017,0
128,E01026784,0,0,5.6380347,0.282097878,-94.99652108,0
26059,E01025322,7,0,32.9441231,1.664823179,-94.94652453,0
1136,E01020303,0,0,11.6787807,0.625156833,-94.64707105,0
33646,E01019131,9,0,62.6692124,4.051386686,-93.53528386,0
18789,E01026787,5,0,26.8612309,1.741527772,-93.51657495,0
1471,E01026774,0,0,12.4735088,0.865009301,-93.06522876,0
491,E01014059,0,0,9.2150206,0.669411797,-92.73564514,0
85,E01026786,0,0,4.7040437,0.358190532,-92.38547609,0
1328,E01026785,0,0,12.1819572,0.930862976,-92.35867471,0
44,E01025320,0,0,2.7612267,0.221408223,-91.98152678,0
24067,E01027472,7,0,31.0153275,2.876786736,-90.72462886,0
1170,E01028980,0,0,11.780344,1.11213909,-90.5593666,0
29689,E01020173,8,0,37.7696651,3.642488068,-90.35604881,0
32848,E01033289,9,0,47.3960789,4.655328,-90.17782039,0
8584,E01026424,2,0,19.9596459,1.974820021,-90.1059366,0
5569,E01028852,1,0,17.5909571,1.932212363,-89.01587701,0
251,E01018974,0,0,7.5853341,0.970169747,-87.20992729,0
1472,E01018068,0,0,12.4739206,1.624869604,-86.97386607,0
33753,E01019090,9,2,131.6544636,18.28147809,-86.11404612,0
262,E01026775,0,0,7.660952,1.117442411,-85.41379178,0
2172,E01018958,0,0,13.7594366,2.026337743,-85.27310527,0
16475,E01020890,4,0,25.2721326,3.758102066,-85.12946206,0
11916,E01020891,3,0,22.2010207,3.322853979,-85.03287743,0
21124,E01012294,6,0,28.5667418,4.371379881,-84.69766027,0
8080,E01035072,2,0,19.5844908,3.035457984,-84.5007051,0
10732,E01020431,3,0,21.4143485,3.343609581,-84.38612512,0
1841,E01022186,0,0,13.1685172,2.081706771,-84.19179062,0
2291,E01013029,0,0,13.9525183,2.24548984,-83.90620394,0
130,E01026783,0,0,5.6636523,0.929095818,-83.59546511,0
978,E01024533,0,0,11.1816495,1.871491298,-83.26283347,0
7148,E01034570,2,0,18.9148651,3.172502886,-83.22746227,0
10590,E01028031,3,0,21.3218209,3.71576408,-82.57295145,0
7707,E01022266,2,0,19.3154734,3.500113331,-81.87922575,0
1216,E01019225,0,0,11.9005967,2.249901441,-81.09421319,0
2685,E01018957,0,0,14.5387711,2.765087746,-80.98128289,0
3509,E01020538,1,0,15.5464392,3.003731591,-80.6789738,0
18309,E01020489,5,0,26.5336254,5.293510946,-80.04980146,0
11995,E01014020,3,0,22.2519926,4.528009397,-79.65121831,1
